NAME,DESCRIPTION,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4
CONNECTICUT STATE POLICE - HADDAM RESIDENT STATE TROOPER,STATE POLICE,860-873-1226,7 MAIN STREET,,EAST HADDAM,CT,6423,1303
CONNECTICUT STATE POLICE - KILLINGWORTH RESIDENT STATE TROOPER,STATE POLICE,860-663-1132,242 STATE ROUTE 81,,KILLINGWORTH,CT,6419,
CONNECTICUT STATE POLICE - MIDDLEFIELD RESIDENT STATE TROOPER,STATE POLICE,860-349-7120,405 MAIN STREET,,MIDDLEFIELD,CT,6455,1268
CONNECTICUT STATE POLICE CENTRAL DISTRICT - HEADQUARTERS,STATE POLICE,203-630-5640,294 COLONY STREET,,MERIDEN,CT,6451,2053
CONNECTICUT STATE POLICE CENTRAL DISTRICT TROOP H - HARTFORD,STATE POLICE,860-534-1000,100 WASHINGTON STREET,,HARTFORD,CT,6106,4419
CONNECTICUT STATE POLICE CENTRAL DISTRICT TROOP I - BETHANY,STATE POLICE,203-393-4200,631 AMITY ROAD,,BETHANY,CT,6524,3026
CONNECTICUT STATE POLICE CENTRAL DISTRICT TROOP W - BRADLEY INTERNATIONAL AIRPORT,STATE POLICE,860-292-7400,11 SCHOEPHOESTER ROAD,,WINDSOR LOCKS,CT,6096,1022
CONNECTICUT STATE POLICE EASTERN DISTRICT TROOP C - TOLLAND,STATE POLICE,860-896-3200,1320 TOLLAND STAGE ROAD,,TOLLAND,CT,6084,3111
CONNECTICUT STATE POLICE EASTERN DISTRICT TROOP D - DANIELSON,STATE POLICE,860-779-4900,55 WESTCOTT ROAD,,DANIELSON,CT,6239,2929
CONNECTICUT STATE POLICE TROOP A - BRIDGEWATER RESIDENT STATE TROOPER,STATE POLICE,860-355-9375,132 HUT HILL ROAD,,BRIDGEWATER,CT,6752,1329
CONNECTICUT STATE POLICE TROOP A - CHESTER RESIDENT STATE TROOPER,STATE POLICE,860-526-3605,203 MIDDLESEX AVENUE,,CHESTER,CT,6412,1221
CONNECTICUT STATE POLICE TROOP A - NEW FAIRFIELD RESIDENT STATE TROOPER,STATE POLICE,203-312-5701,302 BALL POND ROAD,,NEW FAIRFIELD,CT,6812,4625
CONNECTICUT STATE POLICE TROOP A - ROXBURY RESIDENT STATE TROOPER,STATE POLICE,860-354-0089,29 NORTH STREET,,ROXBURY,CT,6783,1405
CONNECTICUT STATE POLICE TROOP A - SHERMAN RESIDENT STATE TROOPER,STATE POLICE,860-354-3715,43 STATE HIGHWAY 39 NORTH,,SHERMAN,CT,6784,
CONNECTICUT STATE POLICE TROOP A - SOUTHBURY,STATE POLICE,203-267-2200,90 LAKESIDE ROAD,,SOUTHBURY,CT,6488,2508
CONNECTICUT STATE POLICE TROOP B - NORFOLK RESIDENT STATE TROOPER,STATE POLICE,860-542-5249,14 SHEPARD ROAD,,NORFOLK,CT,6058,1124
CONNECTICUT STATE POLICE TROOP B - NORTH CANAAN RESIDENT STATE TROOPER,STATE POLICE,860-824-3145,100 PEASE STREET,,NORTH CANAAN,CT,6018,2060
CONNECTICUT STATE POLICE TROOP B - PLEASANT VALLEY RESIDENT STATE TROOPER,STATE POLICE,860-379-8782,66 STATE HIGHWAY 318,,PLEASANT VALLEY,CT,6063,1137
CONNECTICUT STATE POLICE TROOP B - SALISBURY RESIDENT STATE TROOPER,STATE POLICE,860-435-2938,27 MAIN STREET,,SALISBURY,CT,6068,1802
CONNECTICUT STATE POLICE TROOP B BARRACKS - HEADQUARTERS,STATE POLICE,860-824-2500,463 ASHLEY FALLS ROAD,,NORTH CANAAN,CT,6018,2041
CONNECTICUT STATE POLICE TROOP C - ELLINGTON RESIDENT STATE TROOPER,STATE POLICE,860-875-1522,33 ARBOR WAY,,ELLINGTON,CT,6029,3354
CONNECTICUT STATE POLICE TROOP C - HEBRON RESIDENT STATE TROOPER,STATE POLICE,860-228-3710,44 MAIN STREET,,HEBRON,CT,6248,1515
CONNECTICUT STATE POLICE TROOP C - MANSFIELD RESIDENT STATE TROOPER,STATE POLICE,860-429-6024,4 SOUTH EAGLEVILLE ROAD,,MANSFIELD,CT,6268,2574
CONNECTICUT STATE POLICE TROOP C - SOMERS RESIDENT STATE TROOPER,STATE POLICE,860-749-4955,451 MAIN STREET,,SOMERS,CT,6071,2009
CONNECTICUT STATE POLICE TROOP C - STAFFORD RESIDENT STATE TROOPER,STATE POLICE,860-684-3777,2 MAIN STREET,,STAFFORD,CT,6076,1411
CONNECTICUT STATE POLICE TROOP D - BROOKLYN RESIDENT STATE TROOPER,STATE POLICE,860-779-9008,4 WOLF DEN ROAD,,BROOKLYN,CT,6234,1930
CONNECTICUT STATE POLICE TROOP D - CHAPLIN RESIDENT STATE TROOPER,STATE POLICE,860-455-2069,495 PHOENIXVILLE ROAD,,CHAPLIN,CT,6235,2400
CONNECTICUT STATE POLICE TROOP D - KILLINGLY RESIDENT STATE TROOPER,STATE POLICE,860-779-3900,185 BROAD STREET,,DANIELSON,CT,6239,3004
CONNECTICUT STATE POLICE TROOP D - STERLING RESIDENT STATE TROOPER,STATE POLICE,860-564-7896,1114 PLAINFIELD PIKE,,ONECO,CT,6373,
CONNECTICUT STATE POLICE TROOP E - JEWETT CITY RESIDENT STATE TROOPER,STATE POLICE,860-376-2583,1 WEDGEWOOD DRIVE,,JEWETT CITY,CT,6351,2416
CONNECTICUT STATE POLICE TROOP E - LISBON RESIDENT STATE TROOPER,STATE POLICE,860-376-8868,15 NEWENT ROAD,,LISBON,CT,6351,2938
CONNECTICUT STATE POLICE TROOP E - MONTVILLE,STATE POLICE,860-848-6500,INTERSTATE 395,,UNCASVILLE,CT,6382,
CONNECTICUT STATE POLICE TROOP E - NORTH STONINGTON RESIDENT STATE TROOPER,STATE POLICE,860-848-6500,40 MAIN STREET,,NORTH STONINGTON,CT,6359,1612
CONNECTICUT STATE POLICE TROOP E - PRESTON RESIDENT STATE TROOPER,STATE POLICE,860-848-6500,389 STATE HIGHWAY 2,,PRESTON,CT,6365,
CONNECTICUT STATE POLICE TROOP F - WESTBROOK,STATE POLICE,860-399-2100,315 SPENCER PLAINS ROAD,,WESTBROOK,CT,6498,3509
CONNECTICUT STATE POLICE TROOP G - BRIDGEPORT,STATE POLICE,203-696-2500,149 PROSPECT STREET,,BRIDGEPORT,CT,6604,4621
CONNECTICUT STATE POLICE TROOP K - COLCHESTER,STATE POLICE,860-537-7500,15 OLD HARTFORD ROAD,,COLCHESTER,CT,6415,2714
CONNECTICUT STATE POLICE TROOP L - BETHLEHEM RESIDENT STATE TROOPER,STATE POLICE,203-266-7405,36 MAIN STREET SOUTH,,BETHLEHEM,CT,6751,2001
CONNECTICUT STATE POLICE TROOP L - HARWINTON RESIDENT STATE TROOPER,STATE POLICE,860-485-1421,100 BENTLEY DRIVE,,HARWINTON,CT,6791,2200
CONNECTICUT STATE POLICE TROOP L - KENT RESIDENT STATE TROOPER,STATE POLICE,860-927-3134,41 KENT GREEN BOULEVARD,,KENT,CT,6757,
CONNECTICUT STATE POLICE TROOP L - LITCHFIELD RESIDENT STATE TROOPER,STATE POLICE,860-567-8596,74 WEST STREET,,LITCHFIELD,CT,6759,3500
CONNECTICUT STATE POLICE TROOP L - WASHINGTON RESIDENT STATE TROOPER,STATE POLICE,860-868-2100,2 BRYAN PLAZA,,WASHINGTON,CT,6794,1504
CONNECTICUT STATE POLICE TROOP L - WOODBURY RESIDENT STATE TROOPER,STATE POLICE,203-263-3400,271 MAIN STREET SOUTH,,WOODBURY,CT,6798,3408
CONNECTICUT STATE POLICE TROOP L BARRACKS - HEADQUARTERS,STATE POLICE,860-626-7900,452 BANTAM ROAD,,LITCHFIELD,CT,6759,3201
CONNECTICUT STATE POLICE WESTERN DISTRICT - HEADQUARTERS,STATE POLICE,860-626-7975,452 BANTAM ROAD,,LITCHFIELD,CT,6759,3201
COVENTRY POLICE DEPARTMENT,MUNICIPAL,860-742-7331,1585 MAIN STREET,,COVENTRY,CT,6238,1615
CROMWELL POLICE DEPARTMENT,MUNICIPAL,860-635-2256,5 WEST STREET,,CROMWELL,CT,6416,2123
DANBURY POLICE DEPARTMENT,MUNICIPAL,203-797-4601,120 MAIN STREET,,DANBURY,CT,6810,7834
DARIEN POLICE DEPARTMENT,MUNICIPAL,203-662-5300,25 HECKER AVENUE,,DARIEN,CT,6820,5308
DEEP RIVER POLICE DEPARTMENT,MUNICIPAL,860-526-6027,174 MAIN STREET,,DEEP RIVER,CT,6417,2008
DERBY POLICE DEPARTMENT,MUNICIPAL,203-735-7812,125 WATER STREET,,DERBY,CT,6418,1912
EAST GRANBY POLICE DEPARTMENT,MUNICIPAL,860-653-5385,9 MEMORIAL DRIVE,,EAST GRANBY,CT,6026,9632
EAST HAMPTON POLICE DEPARTMENT,MUNICIPAL,860-267-9544,20 EAST HIGH STREET,,EAST HAMPTON,CT,6424,1002
EAST HARTFORD POLICE DEPARTMENT,MUNICIPAL,860-528-4401,31 SCHOOL STREET,,EAST HARTFORD,CT,6108,2638
EAST HAVEN POLICE DEPARTMENT,MUNICIPAL,203-468-3214,471 NORTH HIGH STREET,,EAST HAVEN,CT,6512,1555
EAST LYME POLICE DEPARTMENT,MUNICIPAL,860-739-7007,278 MAIN STREET,,NIANTIC,CT,6357,3102
EAST WINDSOR POLICE DEPARTMENT,MUNICIPAL,860-292-8240,25 SCHOOL STREET,,EAST WINDSOR,CT,6088,9511
EASTERN CONNECTICUT STATE UNIVERSITY POLICE,COLLEGE OR UNIVERSITY,860-465-5310,44 CHARTER OAK ROAD,,WILLIMANTIC,CT,6226,1340
EASTON POLICE DEPARTMENT,MUNICIPAL,203-268-4111,700 MOREHOUSE ROAD,,EASTON,CT,6612,1336
ENFIELD POLICE DEPARTMENT,MUNICIPAL,860-763-6400,293 ELM STREET,,ENFIELD,CT,6082,3907
ESSEX POLICE DEPARTMENT,MUNICIPAL,860-767-1054,29 WEST AVENUE,,ESSEX,CT,6426,1140
FAIRFIELD POLICE DEPARTMENT,MUNICIPAL,203-254-4831,100 REEF ROAD,,FAIRFIELD,CT,6824,5919
FARMINGTON POLICE DEPARTMENT,MUNICIPAL,860-675-2400,319 NEW BRITAIN AVENUE,,UNIONVILLE,CT,6085,1224
GLASTONBURY POLICE DEPARTMENT,MUNICIPAL,860-633-8301,2108 MAIN STREET,,GLASTONBURY,CT,6033,2285
GRANBY POLICE DEPARTMENT,MUNICIPAL,860-844-5335,15 NORTH GRANBY ROAD,,GRANBY,CT,6035,2102
GREENWICH POLICE DEPARTMENT,MUNICIPAL,203-622-8000,11 BRUCE PLACE,,GREENWICH,CT,6830,6535
GROTON CITY POLICE DEPARTMENT - HEADQUARTERS,MUNICIPAL,860-445-2451,295 MERIDIAN STREET,,GROTON,CT,6340,4012
GROTON LONG POINT POLICE DEPARTMENT,MUNICIPAL,860-536-4921,3 ATLANTIC AVENUE,,GROTON,CT,6340,8802
GROTON TOWN POLICE DEPARTMENT,MUNICIPAL,860-441-6710,68 GROTON LONG POINT ROAD,,GROTON,CT,6340,4806
GUILFORD POLICE DEPARTMENT,MUNICIPAL,203-453-8061,400 CHURCH STREET,,GUILFORD,CT,6437,2004
HAMDEN POLICE DEPARTMENT,MUNICIPAL,203-230-4000,2900 DIXWELL AVENUE,,HAMDEN,CT,6518,3132
HARTFORD CAMPUS POLICE - SUBSTATION,COLLEGE OR UNIVERSITY,860-570-5173,65 ELIZABETH STREET,,HARTFORD,CT,6105,2259
HARTFORD POLICE DEPARTMENT,MUNICIPAL,860-527-6300,50 JENNINGS ROAD,,HARTFORD,CT,6120,1611
HOUSATONIC COMMUNITY COLLEGE CAMPUS SECURITY,COLLEGE OR UNIVERSITY,203-332-5020,900 LAFAYETTE BOULEVARD,,BRIDGEPORT,CT,6604,4704
LEBANON POLICE DEPARTMENT,MUNICIPAL,860-642-7730,23 GOSHEN HILL ROAD,,LEBANON,CT,6249,1710
LEDYARD POLICE DEPARTMENT,MUNICIPAL,860-464-6400,11 LORENZ PARKWAY,,LEDYARD,CT,6339,
MADISON POLICE DEPARTMENT,MUNICIPAL,203-245-2721,9 CAMPUS DRIVE,,MADISON,CT,6443,2562
MANCHESTER COMMUNITY COLLEGE POLICE,MUNICIPAL,860-512-3680,60 BIDWELL STREET,,MANCHESTER,CT,6040,6449
MANCHESTER POLICE DEPARTMENT,MUNICIPAL,860-645-5500,239 MIDDLE TURNPIKE EAST,,MANCHESTER,CT,6040,4206
MARLBOROUGH POLICE DEPARTMENT,MUNICIPAL,860-295-9098,200 WEST ROAD,,MARLBOROUGH,CT,6447,1034
MERIDEN POLICE DEPARTMENT,MUNICIPAL,203-238-1911,50 WEST MAIN STREET,,MERIDEN,CT,6451,4109
METROPOLITAN DISTRICT POLICE,OTHER,860-379-0916,39 BEACH ROCK ROAD,,PLEASANT VALLEY,CT,6063,4136
MIDDLEBURY POLICE DEPARTMENT,MUNICIPAL,203-577-4028,200 SOUTHFORD ROAD,,MIDDLEBURY,CT,6762,2928
MIDDLETOWN POLICE DEPARTMENT,MUNICIPAL,860-344-3200,222 MAIN STREET,,MIDDLETOWN,CT,6457,3439
MILFORD POLICE DEPARTMENT,MUNICIPAL,203-878-6551,430 BOSTON POST ROAD,,MILFORD,CT,6460,2530
MONROE POLICE DEPARTMENT,MUNICIPAL,203-452-2830,7 FAN HILL ROAD,,MONROE,CT,6468,1823
MONTVILLE POLICE DEPARTMENT,MUNICIPAL,860-848-7510,89 FORT SHANTOK ROAD,,UNCASVILLE,CT,6382,1301
NAUGATUCK POLICE DEPARTMENT,MUNICIPAL,203-729-5222,211 SPRING STREET,,NAUGATUCK,CT,6770,2922
NAUGATUCK VALLEY COMMUNITY COLLEGE - PUBLIC SAFETY DEPARTMENT,COLLEGE OR UNIVERSITY,203-575-8113,750 CHASE PARKWAY,,WATERBURY,CT,6708,3011
NEW BRITAIN POLICE DEPARTMENT,MUNICIPAL,860-826-3000,125 COLUMBUS BOULEVARD,,NEW BRITAIN,CT,6051,2226
NEW CANAAN POLICE DEPARTMENT,MUNICIPAL,203-594-3500,174 SOUTH AVENUE,,NEW CANAAN,CT,6840,5728
NEW FAIRFIELD POLICE DEPARTMENT,MUNICIPAL,203-312-5701,302 BALL POND ROAD,,NEW FAIRFIELD,CT,6812,4625
NEW HARTFORD PUBLIC SAFETY DEPARTMENT,MUNICIPAL,860-379-8621,530 MAIN STREET,,NEW HARTFORD,CT,6057,
NEW HAVEN POLICE DEPARTMENT,MUNICIPAL,203-946-6255,1 UNION AVENUE,,NEW HAVEN,CT,6519,1721
NEW LONDON POLICE DEPARTMENT,MUNICIPAL,860-447-5269,5 GOVERNOR WINTHROP BOULEVARD,,NEW LONDON,CT,6320,6423
NEW MILFORD POLICE DEPARTMENT,MUNICIPAL,860-355-3133,49 POPLAR STREET,,NEW MILFORD,CT,6776,2920
NEWINGTON POLICE DEPARTMENT,MUNICIPAL,860-594-6218,131 CEDAR STREET,,NEWINGTON,CT,6111,2644
AVON POLICE DEPARTMENT,MUNICIPAL,860-677-9746,60 WEST MAIN STREET,,AVON,CT,6001,3719
NEWTOWN POLICE DEPARTMENT,MUNICIPAL,203-426-5841,3 MAIN STREET,,NEWTOWN,CT,6470,2104
NORTH BRANFORD POLICE DEPARTMENT,MUNICIPAL,203-484-2703,260 FOREST ROAD,,NORTH BRANFORD,CT,6471,
NORTH HAVEN POLICE DEPARTMENT,MUNICIPAL,203-239-5321,8 LINSLEY STREET,,NORTH HAVEN,CT,6473,2517
NORWALK POLICE DEPARTMENT,MUNICIPAL,203-854-3000,1 MONROE STREET,,NORWALK,CT,6854,3103
NORWICH POLICE DEPARTMENT,MUNICIPAL,860-886-5561,70 THAMES STREET,,NORWICH,CT,6360,5646
OLD LYME POLICE DEPARTMENT,MUNICIPAL,860-434-1986,294 SHORE ROAD,,OLD LYME,CT,6371,2131
OLD SAYBROOK POLICE DEPARTMENT,MUNICIPAL,860-395-3142,225 MAIN STREET,,OLD SAYBROOK,CT,6475,2332
ORANGE POLICE DEPARTMENT,MUNICIPAL,203-891-2130,314 LAMBERT ROAD,,ORANGE,CT,6477,3428
OXFORD POLICE DEPARTMENT,MUNICIPAL,203-888-4353,429 OXFORD ROAD,,OXFORD,CT,6478,1231
PLAINFIELD POLICE DEPARTMENT ,MUNICIPAL,860-564-0804,210 NORWICH ROAD,,PLAINFIELD,CT,6374,1622
PLAINVILLE POLICE DEPARTMENT,MUNICIPAL,860-747-1616,19 NEAL COURT,,PLAINVILLE,CT,6062,1603
PLYMOUTH POLICE DEPARTMENT,MUNICIPAL,860-582-1444,80 MAIN STREET,,TERRYVILLE,CT,6786,5107
PORTLAND POLICE DEPARTMENT,MUNICIPAL,860-342-6780,265 MAIN STREET,,PORTLAND,CT,6480,1857
PROSPECT POLICE DEPARTMENT,MUNICIPAL,203-758-6150,8 CENTER STREET,,PROSPECT,CT,6712,1605
PUTNAM POLICE DEPARTMENT,MUNICIPAL,860-928-6565,189 CHURCH STREET,,PUTNAM,CT,6260,1537
REDDING POLICE DEPARTMENT,MUNICIPAL,203-938-2564,96 HILL ROAD,,REDDING,CT,6896,2007
RIDGEFIELD POLICE DEPARTMENT,MUNICIPAL,203-438-6531,76 EAST RIDGE ROAD,,RIDGEFIELD,CT,6877,5022
ROCKY HILL POLICE DEPARTMENT,MUNICIPAL,860-258-7640,699 OLD MAIN STREET,,ROCKY HILL,CT,6067,1517
SALEM POLICE DEPARTMENT,MUNICIPAL,860-859-2507,270 HARTFORD ROAD,,SALEM,CT,6420,3804
SEYMOUR POLICE DEPARTMENT,MUNICIPAL,203-881-7600,11 FRANKLIN STREET,,SEYMOUR,CT,6483,2809
SHELTON POLICE DEPARTMENT,MUNICIPAL,203-924-1544,85 WHEELER STREET,,SHELTON,CT,6484,2221
SIMSBURY POLICE DEPARTMENT,MUNICIPAL,860-658-3100,933 HOPMEADOW STREET,,SIMSBURY,CT,6070,1822
SOUTH WINDSOR POLICE DEPARTMENT,MUNICIPAL,860-644-2551,151 SAND HILL ROAD,,SOUTH WINDSOR,CT,6074,2026
SOUTHBURY POLICE DEPARTMENT,MUNICIPAL,203-264-5912,421 MAIN STREET SOUTH,,SOUTHBURY,CT,6488,2210
SOUTHERN CONNECTICUT STATE UNIVERSITY POLICE DEPARTMENT,COLLEGE OR UNIVERSITY,203-392-5375,10 WINTERGREEN AVENUE,,NEW HAVEN,CT,6515,1048
SOUTHINGTON POLICE DEPARTMENT,MUNICIPAL,860-378-1600,69 LAZY LANE,,SOUTHINGTON,CT,6489,1763
SPRAGUE POLICE DEPARTMENT,MUNICIPAL,860-822-6156,1 MAIN STREET,,BALTIC,CT,6330,1320
STAMFORD POLICE DEPARTMENT,MUNICIPAL,203-977-4681,805 BEDFORD STREET,,STAMFORD,CT,6901,1103
STONINGTON POLICE DEPARTMENT,MUNICIPAL,860-599-4411,173 SOUTH BROAD STREET,,PAWCATUCK,CT,6379,1995
STRATFORD POLICE DEPARTMENT,MUNICIPAL,203-385-4100,900 LONGBROOK AVENUE,,STRATFORD,CT,6614,5007
SUFFIELD POLICE DEPARTMENT,MUNICIPAL,860-668-3870,911 MOUNTAIN ROAD,,SUFFIELD,CT,6078,3074
SUPREME COURT POLICE DEPARTMENT,OTHER,860-757-2299,231 CAPITOL AVENUE,,HARTFORD,CT,6106,1548
THOMASTON POLICE DEPARTMENT,MUNICIPAL,860-283-4343,158 MAIN STREET,,THOMASTON,CT,6787,1744
TORRINGTON POLICE DEPARTMENT,MUNICIPAL,860-489-2000,576 MAIN STREET,,TORRINGTON,CT,6790,3710
TRUMBULL POLICE DEPARTMENT,MUNICIPAL,203-261-3665,158 EDISON ROAD,,TRUMBULL,CT,6611,4139
UNIVERSITY OF CONNECTICUT - HEALTH CENTER POLICE,COLLEGE OR UNIVERSITY,860-679-2121,263 FARMINGTON AVENUE,,FARMINGTON,CT,6032,1956
UNIVERSITY OF CONNECTICUT - STAMFORD CAMPUS POLICE SUB-STATION,COLLEGE OR UNIVERSITY,203-251-9508,16 BROAD STREET,,STAMFORD,CT,6901,2308
UNIVERSITY OF CONNECTICUT-STORRS POLICE HEADQUARTERS,COLLEGE OR UNIVERSITY,860-486-4800,126 NORTH EAGLEVILLE ROAD,,STORRS,CT,6269,9011
UNIVERSITY OF NEW HAVEN POLICE,COLLEGE OR UNIVERSITY,203-932-7014,300 BOSTON POST ROAD,,WEST HAVEN,CT,6516,
VERNON POLICE DEPARTMENT,MUNICIPAL,860-872-9126,725 HARTFORD TURNPIKE,,VERNON,CT,6066,5115
WALLINGFORD POLICE DEPARTMENT,MUNICIPAL,203-294-2800,135 NORTH MAIN STREET,,WALLINGFORD,CT,6492,3709
WATERBURY CAMPUS POLICE SUB-STATION,COLLEGE OR UNIVERSITY,203-236-9950,99 EAST MAIN STREET,,WATERBURY,CT,6702,2311
WESTERN CONNECTICUT STATE COLLEGE POLICE,COLLEGE OR UNIVERSITY,203-837-9300,181 WHITE STREET,,DANBURY,CT,6810,6826
WESTON POLICE DEPARTMENT,MUNICIPAL,203-222-2629,56 NORFIELD ROAD,,WESTON,CT,6883,2225
WESTPORT POLICE DEPARTMENT,MUNICIPAL,203-341-6000,50 JESUP ROAD,,WESTPORT,CT,6880,4309
WETHERSFIELD POLICE DEPARTMENT,MUNICIPAL,860-721-2900,250 SILAS DEANE HIGHWAY,,WETHERSFIELD,CT,6109,1702
WILLIMANTIC POLICE DEPARTMENT,MUNICIPAL,860-465-3135,22 MEADOW STREET,,WILLIMANTIC,CT,6226,2507
WILTON POLICE DEPARTMENT,MUNICIPAL,203-834-6260,240 DANBURY ROAD,,WILTON,CT,6897,4008
WINCHESTER POLICE DEPARTMENT,MUNICIPAL,860-379-2721,338 MAIN STREET,,WINSTED,CT,6098,1674
WINDHAM HEIGHTS POLICE DEPARTMENT,MUNICIPAL,860-456-7881,208 SCOTT ROAD,,WILLIMANTIC,CT,6226,1879
WINDSOR LOCKS POLICE DEPARTMENT,MUNICIPAL,860-627-1461,4 VOLUNTEER DRIVE,,WINDSOR LOCKS,CT,6096,2134
WINDSOR POLICE DEPARTMENT,MUNICIPAL,860-688-5063,340 BLOOMFIELD AVENUE,,WINDSOR,CT,6095,2709
WOLCOTT POLICE DEPARTMENT,MUNICIPAL,203-879-1414,225 NICHOLS ROAD,,WOLCOTT,CT,6716,2718
WOODBRIDGE POLICE DEPARTMENT,MUNICIPAL,203-387-2512,4 MEETINGHOUSE LANE,,WOODBRIDGE,CT,6525,1520
YALE UNIVERSITY POLICE DEPARTMENT,COLLEGE OR UNIVERSITY,203-432-4400,101 ASHMUN STREET,,NEW HAVEN,CT,6511,3646
WEST HAVEN POLICE DEPARTMENT,MUNICIPAL,203-937-3900,200 SAW MILL ROAD,,WEST HAVEN,CT,6516,4114
WEST HARTFORD POLICE DEPARTMENT,MUNICIPAL,860-523-5203,103 RAYMOND ROAD,,WEST HARTFORD,CT,6107,2538
ANSONIA POLICE DEPARTMENT,MUNICIPAL,203-735-1885,2 ELM STREET,,ANSONIA,CT,6401,3310
WATERTOWN POLICE DEPARTMENT,MUNICIPAL,860-945-5200,195 FRENCH STREET,,WATERTOWN,CT,6795,2921
WATERFORD POLICE DEPARTMENT,MUNICIPAL,860-442-9453,41 AVERY LANE,,WATERFORD,CT,6385,2202
WATERBURY POLICE DEPARTMENT,MUNICIPAL,203-574-6907,255 EAST MAIN STREET,,WATERBURY,CT,6702,2301
BETHEL POLICE DEPARTMENT,MUNICIPAL,203-744-7900,49 PLUMTREES ROAD,,BETHEL,CT,6801,1616
BEACON FALLS POLICE DEPARTMENT,MUNICIPAL,203-729-5173,119 NORTH MAIN STREET,,BEACON FALLS,CT,6403,1167
BERLIN POLICE DEPARTMENT,MUNICIPAL,860-828-7086,240 KENSINGTON ROAD,,KENSINGTON,CT,6037,2655
BLOOMFIELD POLICE DEPARTMENT,MUNICIPAL,860-242-6060,785 PARK AVENUE,,BLOOMFIELD,CT,6002,2444
BRANFORD POLICE DEPARTMENT,MUNICIPAL,203-481-4241,33 LAUREL STREET,,BRANFORD,CT,6405,3610
BRIDGEPORT POLICE DEPARTMENT,MUNICIPAL,203-581-5100,300 CONGRESS STREET,,BRIDGEPORT,CT,6604,4065
BRISTOL POLICE DEPARTMENT,MUNICIPAL,860-584-3011,131 NORTH MAIN STREET,,BRISTOL,CT,6010,8101
BROOKFIELD POLICE DEPARTMENT,MUNICIPAL,203-775-2575,63 SILVERMINE ROAD,,BROOKFIELD,CT,6804,2014
BURLINGTON POLICE DEPARTMENT,MUNICIPAL,860-673-4856,200 SPIELMAN HIGHWAY,,BURLINGTON,CT,6013,1735
CANTON POLICE DEPARTMENT,MUNICIPAL,860-693-0221,45 RIVER ROAD,,CANTON,CT,6019,3174
MASHANTUCKET PEQUOT TRIBAL POLICE DEPARTMENT,TRIBAL,860-396-6644,101 PEQUOT TRAIL,,LEDYARD,CT,6339,
WESTBROOK POLICE DEPARTMENT,MUNICIPAL,860-399-7304,866 BOSTON POST ROAD,,WESTBROOK,CT,6498,1881
